Wormbase_ID,Status,Sequence_Name,Gene_Name,Other_Name
WBGene00044647,Dead,,,B0524.7
WBGene00044688,Dead,,,E01H11.4
WBGene00044757,Live,Y55F3BR.11,,Y55F3BR.a
WBGene00044890,Dead,,,F40F12.10
WBGene00045207,Live,F13E9.14,srlf-12,F13E9.14
WBGene00045309,Live,Y11D7A.18,srg-52,CELE_Y11D7A.18
WBGene00046903,Live,Y51H4A.117,21ur-1292,21ur-14297
WBGene00077505,Dead,,,Y32F6A.7
WBGene00077702,Dead,,,C05A9.4
WBGene00077774,Dead,,,F22D6.18
WBGene00119200,Dead,,,C08E8.11
WBGene00119201,Live,C08E8.11,,CELE_C08E8.11
WBGene00138710,Dead,,,R09A8.6
WBGene00164975,Dead,,,F57G12.3
WBGene00189971,Live,C41G6.17,,sn2524
WBGene00189972,Live,T10H4.16,,sn2524
WBGene00189973,Live,T10H4.17,,sn2524
WBGene00195314,Live,F40F12.10,,CELE_F40F12.10
WBGene00195367,Live,B0524.7,,CELE_B0524.7
WBGene00195791,Live,F42H10.9,,CELE_F42H10.9
WBGene00195843,Live,F57G12.3,,CELE_F57G12.3
WBGene00195938,Live,R09A8.6,,CELE_R09A8.6
WBGene00195985,Live,Y6B3B.12,,CELE_Y6B3B.12
WBGene00196067,Live,Y39G8C.5,,CELE_Y39G8C.5
WBGene00196216,Live,C05A9.3,,CELE_C05A9.3
WBGene00196234,Live,T10B11.9,,CELE_T10B11.9
WBGene00196522,Live,Y32F6A.7,,CELE_Y32F6A.7
WBGene00196986,Live,H01A20.2,,CELE_H01A20.2
WBGene00197169,Live,E01H11.4,,CELE_E01H11.4
WBGene00197473,Live,C05A9.4,,CELE_C05A9.4
WBGene00197772,Live,F22D6.18,,CELE_F22D6.18
WBGene00197955,Live,VT23B5.1,,CELE_VT23B5.1
WBGene00198998,Live,F20H11.6,,CELE_F20H11.6
WBGene00199319,Live,F47D12.10,,CELE_F47D12.10
WBGene00199416,Live,Y40B1A.5,,CELE_Y40B1A.5
WBGene00199513,Live,R08D7.8,,CELE_R08D7.8
WBGene00199655,Live,C30D11.2,,CELE_C30D11.2
WBGene00200147,Live,F59F5.8,,CELE_F59F5.8
WBGene00200316,Live,C30D11.3,,CELE_C30D11.3
WBGene00201497,Live,Y17G7B.24,,CELE_Y17G7B.24
WBGene00202128,Live,F32H5.8,,CELE_F32H5.8
WBGene00219287,Live,F36D1.23,spex-1,F36D1.23
WBGene00219382,Dead,,,F15B9.15
WBGene00219505,Suppressed,Y52E8A.8,,
